all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	mode	perturbation	target_genes	n_shared_sites	graph_abs	latent_abs	residual_abs	attention_mean
0.4145162105560303	0.5134683057788315	0.6470588235294118	0.5118148326873779	0.7152638146977822	0.9090909090909091	0.2727272727272727	1.0	0.615909090909091	0.00030887796310707927	1.0364155769348145	0.0004051464784424752	0.00021551561076194048	zero	vorinostat		51	0.00030887796310707927	0.0	0.0	0.001003455719910562
0.4145162105560303	0.5134683057788315	0.6470588235294118	0.5118148326873779	0.7152638146977822	0.9090909090909091	0.2727272727272727	1.0	0.615909090909091	0.00030887796310707927	1.0364155769348145	0.0004051464784424752	0.00021551561076194048	shuffled	vorinostat	PSMB5	51	0.00030887796310707927	0.0	0.0	0.001003455719910562
0.4930110573768616	0.5670582503957903	0.6976744186046512	0.672829270362854	0.6166666666666666	0.8888888888888888	0.4444444444444444	1.0	0.7679738562091504	0.00027490995125845075	0.5184997916221619	0.0004792980616912246	0.00016550124564673752	true	curcumin		43	0.00027490995125845075	0.0	0.0	0.0009888416389003396
0.4930110573768616	0.5670582503957903	0.6976744186046512	0.672829270362854	0.6166666666666666	0.8888888888888888	0.4444444444444444	1.0	0.7679738562091504	0.00027490995125845075	0.5184997916221619	0.0004792980616912246	0.00016550124564673752	zero	curcumin		43	0.00027490995125845075	0.0	0.0	0.0009888416389003396
0.5289450287818909	0.5264192016795339	0.6511627906976745	0.7102056741714478	0.5833333333333334	0.7777777777777778	0.3333333333333333	1.0	0.6797385620915033	0.04043382406234741	0.5184997916221619	0.05611623078584671	0.028683295473456383	shuffled	curcumin	EGFR	43	6.384266453096643e-05	0.023327231407165527	0.017719797790050507	0.0002847211726475507
0.6606648564338684	0.6317181494684952	0.6744186046511628	0.7966777086257935	0.7119666788018509	0.7777777777777778	0.3333333333333333	1.0	0.5980392156862745	0.03687078133225441	0.5846125483512878	0.04695676267147064	0.02412990666925907	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	43	0.0004455306916497648	0.01448206976056099	0.022604620084166527	0.0016175317578017712
0.5211489200592041	0.6073951500509589	0.6744186046511628	0.6157311201095581	0.5933055656682091	0.8888888888888888	0.3333333333333333	1.0	0.7124183006535948	0.00027490995125845075	0.5846125483512878	0.0004365248023532331	8.282358612632379e-05	zero	vorinostat		43	0.00027490995125845075	0.0	0.0	0.0009888416389003396
0.5211489200592041	0.6073951500509589	0.6744186046511628	0.6157311201095581	0.5933055656682091	0.8888888888888888	0.3333333333333333	1.0	0.7124183006535948	0.00027490995125845075	0.5846125483512878	0.0004365248023532331	8.282358612632379e-05	shuffled	vorinostat	PSMB5	43	0.00027490995125845075	0.0	0.0	0.0009888416389003396
0.8134462833404541	0.9149073569726669	0.8604651162790697	0.9129828214645386	0.7	1.0	0.7777777777777778	1.0	0.9117647058823529	0.0005707133677788079	0.8092688918113708	0.0014960464322939515	0.00028877740260213614	true	curcumin		43	0.0005707133677788079	0.0	0.0	0.0015232012374326587
0.8134462833404541	0.9149073569726669	0.8604651162790697	0.9129828214645386	0.7	1.0	0.7777777777777778	1.0	0.9117647058823529	0.0005707133677788079	0.8092688918113708	0.0014960464322939515	0.00028877740260213614	zero	curcumin		43	0.0005707133677788079	0.0	0.0	0.0015232012374326587
0.9060748815536499	0.9161914904822884	0.8837209302325582	0.9813907742500305	0.7	1.0	0.5555555555555556	1.0	0.9084967320261438	0.05594663321971893	0.8092688918113708	0.09781575202941895	0.03248770534992218	shuffled	curcumin	HDAC1;HDAC2;HDAC3;HDAC6	43	0.000929349975194782	0.02172044850885868	0.034075818955898285	0.0025602406822144985
