rank	split_69001	split_69002	split_69003	split_69004	split_69005
261	PLEC	SNX5	DENR	__Ccnl2	SRSF1
262	__Mrpl45	YY1	FKBP5	COMMD1	__Ap2b1
263	__Mrps18c	SSR1	IMP4	BCAP31	NSD1
264	__Aup1	__Fuca1	CHEK1	__Snf8	__Ifi30
265	RABGAP1	__Gm47283	SUN2	GSDMD	UBE2H
266	LARP4B	__Map4	GOLGA8B	__Nsmce4a	__Rsf1
267	__Igf1r	PMCH	SERINC5	EDEM1	__Lsm3
268	CHEK1	MAN2B1	CCNL1	EPB41	__Crlf2
269	MRPL13	__Srm	CD164	__Clspn	TTC7A
270	CALD1	__Epn1	__Cenpw	__Ndufv2	NEMF
271	__Snrnp27	__Dnajc3	FCHSD2	__Zfp207	__Afg3l2
272	ARF4	__Sys1	__Slc2a1	__Dlg1	__Prkcsh
273	MRPL21	__Jmjd6	MYL6B	__Traf1	MARCH6
274	__Herc1	__Imp3	SPCS3	MYL6B	KHSRP
275	CARD8	BAZ1B	TMEM50A	LYST	MTCH1
276	__Ccdc50	MIR181A1HG	__Ms4a4c	RANGAP1	COA4
277	PRIM2	RABL6	FIBP	__Dyrk1a	PHC3
278	__Samm50	__Mcl1	GTSE1	__Rnf126	__Agpat5
279	VRK1	__Hells	AC092821.3	SPPL2A	CAMTA2
280	MEA1	MBOAT7	__Cntrl	__Psmc5	__Ep400
281	__Fam120a	__Igf1r	RECQL	GATAD2B	RALB
282	CCDC18-AS1	COA6	__Oip5os1	NSRP1	STX16
283	MAN2B1	__Zmiz1	KDM5B	__Phlda3	__Spop
284	__Faf1	PFDN1	PJA2	__Cdkn1b	__Exoc6b
285	CASP8	MAPKAPK2	DTYMK	__Dpysl2	DDOST
286	__0610010K14Rik	AOPEP	__Phlda3	__Prkcsh	CD27
287	__Map4k4	__Timm17b	__Ubl4a	__Smarca4	__Traf1
288	__Rsbn1l	__Pafah1b3	VAMP2	__Ubr5	SVIP
289	AGTPBP1	__Auh	CARS	IGF1R	DNAJC15
290	SSR1	AP3B1	__Itgb1	ARAP2	NDUFS4
291	CAPNS1	CYB5B	RABEP1	SNW1	FIS1
292	YY1	AUP1	__Ep400	PSMC4	__Ppp6r3
293	ZNF267	__Ctcf	CAMTA2	MBOAT7	__Xrn2
294	__Lrba	__Sh2d2a	PSAT1	__Alkbh5	ARL15
295	RBM42	__Actr10	OSBPL10	ATP5PD	HINT2
296	HNRNPUL1	ARL3	GBF1	TBCD	__Sfr1
297	PMCH	KDELR2	__Timm17b	__Cdk19	__Nxpe3
298	__Eif3l	COPA	__Sipa1l1	__Tgm2	NENF
299	ARF5	ADAM10	IGFBP2	DLGAP5	__Osbpl8
300	CWC15	KHSRP	__Topbp1	SDF2L1	AC008105.3
301	__Ccnl2	__Rtcb	ATXN10	__Atp2b4	IMP3
302	DDIT3	IKBIP	HSPH1	PPP1R35	__Etf1
303	__Mrpl20	__Cfdp1	UBAC2	LCP2	SZRD1
304	__Rcc2	COA4	SNHG32	__Aurkb	COPS6
305	__Gm26917	__Grb2	DDIT3	__Sh2d2a	IRF1
306	__Auh	__Mrpl21	UBE3C	CGGBP1	SLC41A2
307	__Mbtd1	__Ap1s1	__Dnajb6	__Mrpl51	VAMP2
308	__Zdhhc18	__Aup1	__Dtymk	NDUFB1	SMDT1
309	TNF	__Mrpl45	IL21R	RNF216	GBF1
310	__Afg3l2	TLN1	DNAJC7	PHGDH	__Klf6
311	ARIH1	ZNF267	CKAP5	__Mrtfa	UBAC2
312	ARFGEF1	RBL1	TMEM147	__Tnfaip8l2	FAAP20
313	__Naa38	CWC15	__Spop	RUNX2	DNAJC9
314	MRPL16	__Zranb2	__Fads2	SLC35F3	__Ly6c2
315	PPP1R2	MDM4	SNX5	__Snrpa1	P2RX4
316	ADGRG1	DNAJC15	ELAVL1	__Rtn4	SNRPD3
317	ILK	CSGALNACT2	DSTN	__Ptms	ANAPC5
318	__Adam19	SELENOF	__Psmc1	__Rpp21	__Pafah1b3
319	__Ccdc124	__Ogt	__Bhlhe40	WDR26	__Rsrc2
320	__Aarsd1	DCTN3	PSAP	CTDSPL2	__Alkbh5
321	__Ap1s1	STAG2	FAAP20	AHCYL1	WDR82
322	__Rpn1	XBP1	SP3	LRRFIP2	SERINC5
323	__Zmiz1	CENPW	SETD2	POLR2G	__Psmc1
324	CUL3	__Agfg1	RCBTB2	FOCAD	__Tcea1
325	__Snf8	POLA1	__Sh2d2a	MOB1A	RABL6
326	__Rnh1	PLEC	__Ccnl2	NDUFA2	__Polr2g
327	PSAT1	NUP153	__Eloc	__Slc2a1	CHEK1
328	ATIC	__Gata3	UBE2V2	METRNL	RUVBL2
329	MGMT	__Lypla2	CD27	__Kdm5a	ELAVL1
330	OXSR1	__Naa38	__Rab7	TGFBR2	CEP128
331	MIR181A1HG	ARF4	SPAG7	__Usp1	__Elovl5
332	FKBP3	FUBP1	FAH	__Mrps34	__Ndufv1
333	__Map4	OXSR1	__Tcea1	__Erg28	FAH
334	AOPEP	__Sptbn1	__H2-DMa	__Atp2a2	MYO9B
335	__E2f1	ADGRG1	__Itgav	MAPK8	AL138720.1
336	PSD4	MRPL21	MDM4	LARS	__AU020206
337	__Csnk1d	__Akr1b3	__Il7r	__Suco	__Cul3
338	TLN1	CARS	PPP6R1	__Ankrd37	ZBTB1
339	__Ctcf	__Fryl	__Tcerg1	__Rdx	HTT
340	COPS9	__Afg3l2	__Sod2	USP9Y	__Fads2
341	NDUFA3	__Ccnl2	AFTPH	__Rpa1	YWHAG
342	XBP1	MEA1	PHC3	__Tomm40	__Cmc1
343	__Hivep2	__Faf1	RHOF	SPEN	SP3
344	__Lyar	__Csnk1d	__Rsrc2	PPP2R5E	ST6GAL1
345	__Mvb12a	__Mapk1	LARS	DOK2	__Mia2
346	CCAR1	LINC01578	__1110004F10Rik	__Prrc2a	URI1
347	__Isg20	ANKRD36	PPP2R5E	RELB	SETD2
348	__Gata3	__Kif15	__Ccdc58	__March7	__Lsm8
349	PFDN1	LRPPRC	SENP6	RABEP1	__Slc44a2
350	PRKRIP1	PIBF1	SP140	RTF2	PBRM1
351	MAD2L2	__Mark2	TSTD1	__Nudcd3	ZFC3H1
352	__Ppp1cb	PGP	MTCH2	TMEM165	ATXN10
353	__Igtp	HIF1A-AS3	RASAL3	__Itgb2	POU2F1
354	SPCS3	ILK	__Pum1	DNM2	NME3
355	__Il24	TSC22D4	STAMBP	FAM50A	STAMBP
356	__Lypla2	__Adam19	__Babam1	SRSF1	__Nsmce4a
357	SNRPD3	__Rnh1	__Lamtor5	DHPS	IFNAR2
358	KDELR2	__Tra2a	__Gls	CUL1	__Hipk2
359	CARS	EIF2S3	__Psmd2	__Nxpe3	TNKS
360	IKBIP	__Samm50	__Nrn1	__Rnf19b	DENR
361	__Dock8	PSAT1	__Pdlim1	__Afg3l2	CARD8
362	COPA	CUL3	ELOVL5	GCC2	__Vdac3
363	GIGYF2	__Crebbp	SEC31A	__Adh5	__Uck2
364	__Smarce1	__Rbck1	__Agpat5	LNPEP	__Clspn
365	SLC25A36	ATIC	DAZAP2	FOXJ3	FCHSD2
366	__Ubn2	IL1RN	RAD50	__Znhit1	DENND1A
367	CENPW	PSD4	IRF1	RPA2	SMIM26
368	__Utp11	__Ppp2r1a	UFC1	__Tcerg1	CCNL1
369	__Txnip	__Mrpl20	__Sfr1	SGO2	__Ptpn6
370	__Rtcb	SLC25A36	P2RX4	__Il7r	ATP11B
371	__Fryl	TGOLN2	CRTC3	__Mrps26	CAMK1D
372	__Mapk1	CLDND1	STX16	EHMT1	__Cdc42se1
373	HPRT1	G3BP1	__Pdcd6	__Ndufv1	NBAS
374	ADAM10	SUPT5H	PBRM1	DHX9	__Psmd2
375	MRPS15	KIFC1	YY1	__Btbd9	__Aff4
376	PHF19	__Stk4	HINT2	GBF1	__Ptpn22
377	MTCH2	SNRPD3	ANXA7	RALBP1	__Ccdc58
378	__Plekhj1	__Acat2	NEMF	CCDC18	HPRT1
379	__Prkcsh	HRH2	RALB	SNX5	DCTPP1
