n_sites	signed_fraction_all	signed_fraction_responsive20	signed_fraction_predicted20	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	predicted20_cosine	predicted20_spearman	predicted20_direction	top20_recall	top20_overlap_direction	response_auroc_abs_pred	pred_abs	real_abs	model	comparison_id	comparison_index	perturbation	target_genes	n_mapping_rows	retrieved_target_comparison	retrieved_target_baseline_comparison
32	0.71875	0.5714285714285714	1.0	0.1103418381243266	0.17940323336872788	0.6521739130434783	0.4863272497329905	0.4076871241636057	0.75	0.3286016987751427	-0.10714285714285716	0.7142857142857143	0.0		0.3314285714285714	0.12376089798635803	0.7976730305235833	retrieval_target	p100_delta_00077	77	Erlotinib	EGFR	36	decryptm_delta_00000	
32	0.71875	0.5714285714285714	1.0	0.1103418381243266	0.17940323336872788	0.6521739130434783	0.4863272497329905	0.4076871241636057	0.75	0.3286016987751427	-0.10714285714285716	0.7142857142857143	0.0		0.3314285714285714	0.12376089798635803	0.7976730305235833	retrieval_target_baseline	p100_delta_00077	77	Erlotinib	EGFR	36		decryptm_delta_00000
32	1.0	1.0	1.0	0.7398021032326206	0.7346041055718474	0.75	0.8006782673099073	0.6785714285714287	0.8571428571428571	0.8759817457863435	0.6785714285714287	1.0	0.8571428571428571	1.0	0.9885714285714285	0.060729966611688724	0.6879451426211745	ppko_v10b	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	0.6879451426211745	zero_vector	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	0.6879451426211745	direct_kinase_substrate	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36		
32	0.9375	1.0	1.0	-0.18873071189574617	-0.18145161290322578	0.4	-0.34733170691814397	0.28571428571428575	0.42857142857142855	-0.3587720500398676	-0.5	0.2857142857142857	0.2857142857142857	0.5	0.5371428571428571	0.0049748861606466604	0.6879451426211745	graph_heat_diffusion	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36		
32	0.96875	1.0	1.0	-0.18556399790097056	0.03702346041055718	0.5483870967741935	-0.21704663596084514	-0.07142857142857144	0.5714285714285714	-0.31702584641531867	-0.3571428571428572	0.42857142857142855	0.42857142857142855	0.6666666666666666	0.6114285714285714	0.004270327871708446	0.6879451426211745	rwr_signed_graph	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36		
32	0.96875	0.8571428571428571	1.0	0.004992197611754064	0.10117302052785922	0.5161290322580645	-0.070618817591434	-0.10714285714285716	0.6666666666666666	0.07556267624636236	0.6071428571428572	0.8571428571428571	0.42857142857142855	0.6666666666666666	0.5028571428571429	0.05650720820995048	0.6879451426211745	ridge_signed_target	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36		
32	0.75	0.5714285714285714	1.0	-0.4608251510276229	-0.0995597007040271	0.5416666666666666	-0.6321130044805241	0.14824986333222023	0.5	-0.7962192559693156	-0.6785714285714287	0.2857142857142857	0.14285714285714285	0.0	0.34	0.09543536658748053	0.6879451426211745	retrieval_target	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36	decryptm_delta_00020	
32	0.8125	0.7142857142857143	1.0	0.2868274518915047	0.3090941808951688	0.6923076923076923	0.4615275032481747	0.10811249552346709	0.8	0.5764844964965531	0.5714285714285715	0.8571428571428571	0.2857142857142857	1.0	0.5485714285714286	0.13442132156342268	0.6879451426211745	retrieval_target_baseline	p100_delta_00078	78	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36		decryptm_delta_00038
